Index,Alpha,Gamma,Reward Coef,Accuracy
517,0.9,0.9,36.0,0.8
518,0.9,0.9,37.0,0.8
519,0.9,0.9,38.0,0.8
520,0.9,0.9,39.0,0.8
521,1.0,0.9,0.0,0.8
522,1.0,0.9,1.0,1.0
523,1.0,0.9,2.0,0.8
524,1.0,0.9,3.0,1.0
525,1.0,0.9,4.0,1.0
526,1.0,0.9,5.0,1.0
527,1.0,0.9,6.0,1.0
528,1.0,0.9,7.0,1.0
529,1.0,0.9,8.0,1.0
530,1.0,0.9,9.0,1.0
531,1.0,0.9,10.0,1.0
532,1.0,0.9,11.0,1.0
533,1.0,0.9,12.0,1.0
534,1.0,0.9,13.0,1.0
535,1.0,0.9,14.0,1.0
536,1.0,0.9,15.0,1.0
537,1.0,0.9,16.0,1.0
538,1.0,0.9,17.0,1.0
539,1.0,0.9,18.0,1.0
540,1.0,0.9,19.0,1.0
541,1.0,0.9,20.0,1.0
542,1.0,0.9,21.0,1.0
543,1.0,0.9,22.0,1.0
544,1.0,0.9,23.0,1.0
545,1.0,0.9,24.0,1.0
546,1.0,0.9,25.0,1.0
547,1.0,0.9,26.0,0.8
548,1.0,0.9,27.0,1.0
549,1.0,0.9,28.0,1.0
550,1.0,0.9,29.0,0.8
551,1.0,0.9,30.0,0.8
552,1.0,0.9,31.0,0.8
553,1.0,0.9,32.0,0.8
554,1.0,0.9,33.0,0.8
555,1.0,0.9,34.0,0.8
556,1.0,0.9,35.0,0.8
557,1.0,0.9,36.0,0.8
558,1.0,0.9,37.0,0.8
559,1.0,0.9,38.0,0.8
560,1.0,0.9,39.0,0.8
561,0.9,0.9,0.0,0.8
562,0.9,0.9,1.0,1.0
563,0.9,0.9,2.0,1.0
564,0.9,0.9,3.0,1.0
565,0.9,0.9,4.0,1.0
566,0.9,0.9,5.0,1.0
567,0.9,0.9,6.0,1.0
568,0.9,0.9,7.0,1.0
569,0.9,0.9,8.0,1.0
570,0.9,0.9,9.0,1.0
571,0.9,0.9,10.0,1.0
572,0.9,0.9,11.0,1.0
573,0.9,0.9,12.0,1.0
574,0.9,0.9,13.0,1.0
575,0.9,0.9,14.0,1.0
576,0.9,0.9,15.0,1.0
577,0.9,0.9,16.0,1.0
578,0.9,0.9,17.0,1.0
579,0.9,0.9,18.0,1.0
580,0.9,0.9,19.0,1.0
581,0.9,0.9,20.0,1.0
582,0.9,0.9,21.0,1.0
583,0.9,0.9,22.0,1.0
584,0.9,0.9,23.0,1.0
585,0.9,0.9,24.0,1.0
586,0.9,0.9,25.0,1.0
587,0.9,0.9,26.0,1.0
588,0.9,0.9,27.0,1.0
589,0.9,0.9,28.0,1.0
590,0.9,0.9,29.0,0.8
591,0.9,0.9,30.0,0.8
592,0.9,0.9,31.0,0.8
593,0.9,0.9,32.0,0.8
594,0.9,0.9,33.0,0.8
595,0.9,0.9,34.0,0.8
596,0.9,0.9,35.0,0.8
597,0.9,0.9,36.0,0.8
598,0.9,0.9,37.0,0.8
599,0.9,0.9,38.0,0.8
600,0.9,0.9,39.0,0.8
601,1.0,0.9,0.0,0.8
602,1.0,0.9,1.0,1.0
603,1.0,0.9,2.0,1.0
604,1.0,0.9,3.0,1.0
605,1.0,0.9,4.0,1.0
606,1.0,0.9,5.0,1.0
607,1.0,0.9,6.0,0.8
608,1.0,0.9,7.0,1.0
609,1.0,0.9,8.0,1.0
610,1.0,0.9,9.0,1.0
611,1.0,0.9,10.0,1.0
612,1.0,0.9,11.0,1.0
613,1.0,0.9,12.0,1.0
614,1.0,0.9,13.0,1.0
615,1.0,0.9,14.0,1.0
616,1.0,0.9,15.0,1.0
617,1.0,0.9,16.0,1.0
618,1.0,0.9,17.0,1.0
619,1.0,0.9,18.0,1.0
620,1.0,0.9,19.0,1.0
621,1.0,0.9,20.0,1.0
622,1.0,0.9,21.0,1.0
623,1.0,0.9,22.0,1.0
624,1.0,0.9,23.0,1.0
625,1.0,0.9,24.0,1.0
626,1.0,0.9,25.0,1.0
627,1.0,0.9,26.0,1.0
628,1.0,0.9,27.0,1.0
629,1.0,0.9,28.0,1.0
630,1.0,0.9,29.0,0.8
631,1.0,0.9,30.0,0.8
632,1.0,0.9,31.0,0.8
633,1.0,0.9,32.0,0.8
634,1.0,0.9,33.0,0.8
635,1.0,0.9,34.0,0.8
636,1.0,0.9,35.0,0.8
637,1.0,0.9,36.0,0.8
638,1.0,0.9,37.0,0.8
639,1.0,0.9,38.0,0.8
640,1.0,0.9,39.0,0.8
641,0.9,0.9,0.0,0.6
642,0.9,0.9,1.0,0.8
643,0.9,0.9,2.0,1.0
644,0.9,0.9,3.0,1.0
645,0.9,0.9,4.0,1.0
646,0.9,0.9,5.0,1.0
647,0.9,0.9,6.0,1.0
648,0.9,0.9,7.0,1.0
649,0.9,0.9,8.0,1.0
650,0.9,0.9,9.0,1.0
651,0.9,0.9,10.0,1.0
652,0.9,0.9,11.0,1.0
653,0.9,0.9,12.0,1.0
654,0.9,0.9,13.0,1.0
655,0.9,0.9,14.0,1.0
656,0.9,0.9,15.0,1.0
657,0.9,0.9,16.0,1.0
658,0.9,0.9,17.0,1.0
659,0.9,0.9,18.0,0.8
660,0.9,0.9,19.0,1.0
661,0.9,0.9,20.0,1.0
662,0.9,0.9,21.0,1.0
663,0.9,0.9,22.0,1.0
664,0.9,0.9,23.0,1.0
665,0.9,0.9,24.0,1.0
666,0.9,0.9,25.0,1.0
667,0.9,0.9,26.0,1.0
668,0.9,0.9,27.0,1.0
669,0.9,0.9,28.0,1.0
670,0.9,0.9,29.0,0.8
671,0.9,0.9,30.0,0.8
672,0.9,0.9,31.0,0.8
673,0.9,0.9,32.0,1.0
674,0.9,0.9,33.0,0.8
675,0.9,0.9,34.0,0.8
676,0.9,0.9,35.0,0.8
677,0.9,0.9,36.0,0.8
678,0.9,0.9,37.0,0.8
679,0.9,0.9,38.0,0.8
680,0.9,0.9,39.0,0.8
681,1.0,0.9,0.0,0.8
682,1.0,0.9,1.0,0.8
683,1.0,0.9,2.0,1.0
684,1.0,0.9,3.0,1.0
685,1.0,0.9,4.0,1.0
686,1.0,0.9,5.0,1.0
687,1.0,0.9,6.0,1.0
